rubbish -->,http://www.sec.gov/xxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,132,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,1000634,0.0025,,,1000634,Group 1,3500007376,1,1,0,134,3,,,,,,2,0,0,,134,,,0,,20110317,848000,0.04875,180,180,20110501,134,1,0,0,,777870.71,0.04875,6650.84,20130101,0,,134,,,,,,,,,,,134,,,,,,,,,,,134,,,,,,,,0,,253,134,1,,1,,15,,6,1,20120928,,134,,,,,,742,690,,2,,134,,,,,,,,0,,,134,126316,0,0,0,126316,126316,1,5,,3,134,,4,,701077.84,11974.76,0.159357,,,0,134,Mountain View,CA,94040,7,1,,1060000,3,20110225,134,,,1099000,10,20120907,,,0.8,0.8,0,0,0,134,,,,,,,,,,,134,,,,,,,,,,15,134,NA,0,20260401,126316,0,0,0,134,0,0,Full,Two Years,Two Months
,135,1000634,0.0025,,,1000634,Group 1,3500007377,1,1,0,135,9,,,,,,1,4,0,,135,,,0,,20110119,705000,0.04125,180,180,20110301,135,1,0,0,,637215.75,0.04125,5259.07,20130101,0,,135,,,,,,,,,,,135,,,,,,,,,,,135,,,,,,,,0,,187,135,1,,1,,14.8,,7,1,20120928,,135,,,,,,738,759,,2,,135,,,,,,,,0,,,135,36883,0,0,0,36883,36883,1,5,,3,135,,4,,109284.45,7513.07,0.211115,,,0,135,Mountain View,CA,94040,7,1,,1300000,3,20101220,135,,,,,,,,0.5423,0.5423,0,0,0,135,,,,,,,,,,,135,,,,,,,,,,15,135,,0,20260201,36883.33,0,0,0,135,0,0,Full,Two Years,Two Months
,136,1000634,0.0025,,,1000634,Group 1,3500007378,1,1,0,136,9,,,,,,2,0,0,,136,,,0,,20120308,479000,0.04125,180,180,20120501,136,1,0,0,,461420.09,0.04125,3573.18,20130101,0,,136,,,,,,,,,,,136,,,,,,,,,,,136,,,,,,,,0,,319,136,1,,0,,23,,8,1,20120928,,136,,,,,,737,745,,2,,136,,,,,,,,0,,,136,17500,0,0,0,17500,17500,1,5,,3,136,,4,,239380.34,6986.88,0.393445,,,0,136,Mountain View,CA,94040,7,1,,1100000,3,20120223,136,,,,,,,,0.4354,0.4354,0,0,0,136,,,,,,,,,,,136,,,,,,,,,,23,136,,0,20270401,17500,0,0,0,136,0,0,Full,Two Years,Two Months
,137,1000634,0.0025,,,1000634,Group 1,3500007379,1,1,0,137,9,,,,,,2,4,0,,137,,,0,,20120327,665000,0.045,180,180,20120501,137,1,0,0,,629496.46,0.045,5087.21,20130101,0,,137,,,,,,,,,,,137,,,,,,,,,,,137,,,,,,,,0,,370,137,4,,1,,30,,0,1,20120928,,137,,,,,,736,733,,2,,137,,,,,,,,0,,,137,53410,0,0,0,53410,53410,1,5,,3,137,,4,,924897,16086.56,0.327214,,,0,137,Millbrae,CA,94030,3,2,,950000,3,20120130,137,,,,,,,,0.7,0.7,0,0,0,137,,,,,,,,,,,137,,,,,,,,,,7,137,,0,20270401,53410,0,0,0,137,0,0,Full,Two Years,Two Months
,138,1000634,0.0025,,,1000634,Group 1,3500007380,1,1,0,138,9,,,,,,2,4,0,,138,,,0,,20110523,1324000,0.0475,180,180,20110701,138,1,0,0,,1224403.09,0.0475,10298.49,20130101,0,,138,,,,,,,,,,,138,,,,,,,,,,,138,,,,,,,,0,,328,138,1,,0,,11,,3,1,20120928,,138,,,,,,736,748,,2,,138,,,,,,,,0,,,138,36666,0,0,0,36666,36666,1,5,,3,138,,4,,313388.45,12250.11,0.328742,,,0,138,Millbrae,CA,94030,7,1,,1800000,3,20110418,138,,,,,,,,0.7355,0.7355,0,0,0,138,,,,,,,,,,,138,,,,,,,,,,30,138,,0,20260601,36666,0,0,0,138,0,0,Full,Two Years,Two Months
,139,1000634,0.0025,,,1000634,Group 1,3500007382,1,1,0,139,9,,,,,,5,0,0,,139,,,0,,20120628,600000,0.04125,180,180,20120801,139,1,0,0,,585395.14,0.04125,4475.81,20130101,0,,139,,,,,,,,,,,139,,,,,,,,,,,139,,,,,,,,0,,228,139,1,,0,,11,11,11,1,20120928,,139,,,,,,732,702,,2,,139,,,,,,,,0,,,139,6125,12617,0,0,18742,18742,1,5,,3,139,,4,,136904.4,5298.55,0.330139,,,0,139,Menlo Park,CA,94025,1,1,,750000,3,20120527,139,,,,,,,,0.8,0.8,0,0,0,139,,,,,,,,,,,139,,,,,,,,,,11,139,11,0,20270701,6125,12617,0,0,139,0,0,Full,Two Years,Two Months
,140,1000634,0.0025,,,1000634,Group 1,3500007383,1,1,0,140,9,,,,,,1,4,0,,140,,,0,,20120106,554100,0.04,180,180,20120301,140,1,0,0,,528915.32,0.04,4098.61,20130101,0,,140,,,,,,,,,,,140,,,,,,,,,,,140,,,,,,,,0,,502,140,1,,0,,3.4,,6,1,20120928,,140,,,,,,727,680,,2,,140,,,,,,,,0,,,140,54549,0,0,0,54549,54549,1,5,,3,140,,4,,98549.21,7276.84,0.144759,,,0,140,MENLO PARK,CA,94025,7,1,,750000,3,20111128,140,,,750000,9,20120828,,,0.7388,0.7388,0,0,0,140,,,,,,,,,,,140,,,,,,,,,,13,140,,0,20270201,54548.52,0,0,0,140,0,0,Full,Two Years,Two Months
,141,1000634,0.0025,,,1000634,Group 1,3500007384,1,1,0,141,9,,,,,,2,0,0,,141,,,0,,20110722,1280000,0.0475,180,180,20110901,141,1,0,0,,1136772.06,0.0475,9956.25,20130101,0,,141,,,,,,,,,,,141,,,,,,,,,,,141,,,,,,,,0,,252,141,1,,0,,0,10,3,1,20120928,,141,,,,,,727,825,,2,,141,,,,,,,,0,,,141,0,91519,0,0,91519,91519,1,5,,3,141,,4,,393644.47,13392.89,0.164013,,,0,141,MENLO PARK,CA,94025,7,1,,1600000,3,20110621,141,,,1400000,10,20120908,,,0.8,0.8,0,0,0,141,,,,,,,,,,,141,,,,,,,,,,,141,20,0,20260801,0,0,0,25415,141,66104,0,Full,Two Years,Two Months
,142,1000634,0.0025,,,1000634,Group 1,3500007385,1,1,0,142,9,,,,,,2,0,0,,142,,,0,,20110826,607050,0.04625,180,180,20111001,142,1,0,0,,548885.13,0.04625,4682.77,20130101,0,,142,,,,,,,,,,,142,,,,,,,,,,,142,,,,,,,,0,,246,142,1,,1,,5,8,10,1,20120928,,142,,,,,,724,724,,2,,142,,,,,,,,0,,,142,30923,10242,0,0,41165,41165,1,5,,3,142,,4,,264567,13134.52,0.175978,,,0,142,Menlo Park,CA,94025,1,1,,775000,3,20110714,142,,,700000,9,20120829,,,0.7832,0.7832,0,0,0,142,,,,,,,,,,,142,,,,,,,,,,5,142,8,0,20260901,30992.98,0,0,10241.66,142,0,0,Full,Two Years,Two Months
,143,1000634,0.0025,,,1000634,Group 1,3500007388,1,1,0,143,3,,,,,,2,0,0,,143,,,0,,20110719,1725000,0.04875,180,180,20110901,143,1,0,0,,1610460.34,0.04875,13529.13,20130101,0,,143,,,,,,,,,,,143,,,,,,,,,,,143,,,,,,,,0,,264,143,1,,1,,11,11,7,1,20120928,,143,,,,,,720,707,,2,,143,,,,,,,,0,,,143,89545,0,0,0,89545,89545,1,5,,3,143,,4,,1058143.14,32704.52,0.251264,,,0,143,Menlo Park,CA,94025,1,1,,2300000,3,20110616,143,,,2345000,5,20121201,,,0.75,0.75,0,0,0,143,,,,,,,,,,,143,,,,,,,,,,23,143,NA,0,20260801,12915,0,0,0,143,0,0,Full,Two Years,Two Months
,144,1000634,0.0025,,,1000634,Group 1,3500007389,1,1,0,144,3,,,,,,1,0,0,,144,,,0,,20111123,680000,0.04375,180,180,20120101,144,1,0,0,,643271.32,0.04375,5158.62,20130101,0,,144,,,,,,,,,,,144,,,,,,,,,,,144,,,,,,,,0,,280,144,3,,0,,3.2,,20.6,1,20120928,,144,,,,,,718,718,,2,,144,,,,,,,,0,,,144,81760,0,0,0,81760,81760,0,5,,3,144,,4,,186801.8,12190.42,0.139421,,,0,144,Menlo Park,CA,94025,1,1,,1600000,3,20110805,144,,,1600000,9,20120829,,,0.425,0.425,0,0,0,144,,,,,,,,,,,144,,,,,,,,,,33,144,,0,20261201,12158.59,69601,0,0,144,0,0,Full,Two Years,Two Months
,145,1000634,0.0025,,,1000634,Group 1,3500007390,1,1,0,145,9,,,,,,2,0,0,,145,,,0,,20111128,511600,0.04375,180,180,20120101,145,1,0,0,,483482.93,0.04375,3881.1,20130101,0,,145,,,,,,,,,,,145,,,,,,,,,,,145,,,,,,,,0,,247,145,1,,1,,21,,13,1,20120928,,145,,,,,,716,745,,2,,145,,,,,,,,0,,,145,84197,0,0,0,84197,84197,1,5,,3,145,,4,,85233.56,10554.09,0.322095,,,0,145,Los Altos,CA,94024,1,1,,725000,3,20110930,145,,,725000,9,20120828,,,0.7056,0.7056,0,0,0,145,,,,,,,,,,,145,,,,,,,,,,21,145,,0,20261201,84196.71,0,0,0,145,0,0,Full,Two Years,Two Months
,146,1000634,0.0025,,,1000634,Group 1,3500007391,1,1,0,146,3,,,,,,2,0,0,,146,,,0,,20110829,522000,0.045,180,180,20111001,146,1,0,0,,488145.18,0.045,3993.26,20130101,0,,146,,,,,,,,,,,146,,,,,,,,,,,146,,,,,,,,0,,274,146,1,,0,,24,,21,1,20120928,,146,,,,,,715,654,,2,,146,,,,,,,,0,,,146,25299,0,0,0,25299,25299,1,5,,3,146,,4,,578993.44,9296.37,0.366516,,,0,146,LOS ALTOS HILLS,CA,94022,7,1,,750000,3,20110627,146,,,750000,9,20120828,,,0.696,0.696,0,0,0,146,,,,,,,,,,,146,,,,,,,,,,23,146,NA,0,20260901,25299,0,0,0,146,0,0,Full,Two Years,Two Months
,147,1000634,0.0025,,,1000634,Group 1,3500007396,1,1,0,147,9,,,,,,2,0,0,,147,,,0,,20120402,610000,0.0425,180,180,20120601,147,1,0,0,,589917.04,0.0425,4588.9,20130101,0,,147,,,,,,,,,,,147,,,,,,,,,,,147,,,,,,,,0,,524,147,2,,0,,6,9,5,1,20120928,,147,,,,,,704,696,,2,,147,,,,,,,,0,,,147,12923,6938,0,0,19861,19861,1,5,,3,147,,4,,77799.51,6506.46,0.273328,,,0,147,LOS ALTOS,CA,94022,1,1,,903000,3,20120306,147,,,,,,,,0.6755,0.6755,0,0,0,147,,,,,,,,,,,147,,,,,,,,,,6,147,9,0,20270501,12923,6938.07,0,0,147,0,0,Full,Two Years,Two Months
,148,1000634,0.0025,,,1000634,Group 1,3500007397,1,1,0,148,9,,,,,,2,0,0,,148,,,445528,,20110429,981000,0.05,180,180,20110601,148,1,0,0,,904616.7,0.05,7757.69,20130101,0,,148,,,,,,,,,,,148,,,,,,,,,,,148,,,,,,,,0,,265,148,1,,1,,14,11,3,1,20120928,,148,,,,,,701,695,,2,,148,,,,,,,,0,,,148,14369,23184,0,0,37553,37553,1,5,,3,148,,4,,124032.3,15037.35,0.423756,,,0,148,HALF MOON BAY,CA,94019,7,1,,1890000,3,20110422,148,,,,,,,,0.7547,0.519,0,0,0,148,,,,,,,,,,,148,,,,,,,,,,18,148,18,445528,20260501,14369,23184,0,0,148,0,0,Full,Two Years,Two Months
,149,1000634,0.0025,,,1000634,Group 1,3500007398,1,1,0,149,9,,,,,,1,4,0,,149,,,0,,20110131,285000,0.0425,180,180,20110301,149,1,0,0,,175737.28,0.0425,2143.99,20130101,0,,149,,,,,,,,,,,149,,,,,,,,,,,149,,,,,,,,0,,42,149,1,,0,,21.1,,6,1,20120928,,149,,,,,,707,745,,2,,149,,,,,,,,0,,,149,13750,0,0,0,13750,13750,1,5,,3,149,,4,,103000.28,4434.38,0.374168,,,0,149,Burlingame,CA,94010,1,1,,675000,3,20101120,149,,,650000,10,20120907,,,0.4222,0.4222,0,0,0,149,,,,,,,,,,,149,,,,,,,,,,24,149,,0,20260201,13750,0,0,0,149,0,0,Full,Two Years,Two Months
,150,1000634,0.0025,,,1000634,Group 1,3500007399,1,1,0,150,9,,,,,,2,4,0,,150,,,0,,20120329,750000,0.04,180,180,20120601,150,1,0,0,,721068.93,0.04,5547.66,20130101,0,,150,,,,,,,,,,,150,,,,,,,,,,,150,,,,,,,,0,,37,150,2,,0,,19,17,7,1,20120928,,150,,,,,,694,690,,2,,150,,,,,,,,0,,,150,19066,9254,0,0,28320,28320,1,5,,3,150,,4,,168652.59,11431.37,0.401684,,,0,150,Hillsborough,CA,94010,1,1,,1150000,3,20120209,150,,,,,,,,0.6521,0.6521,0,0,0,150,,,,,,,,,,,150,,,,,,,,,,19,150,17,0,20270501,19066,0,0,9254,150,0,0,Full,Two Years,Two Months
,151,1000634,0.0025,,,1000634,Group 1,3500007400,1,1,0,151,3,,,,,,1,0,0,,151,,,0,,20110629,1000000,0.045,180,180,20110801,151,1,0,0,,927505.6,0.045,7649.93,20130101,0,,151,,,,,,,,,,,151,,,,,,,,,,,151,,,,,,,,0,,299,151,2,,1,,15.2,,10,1,20120928,,151,,,,,,690,668,,2,,151,,,,,,,,0,,,151,59169,0,0,0,59169,59169,1,5,,3,151,,4,,401292.85,12046.81,0.191002,,,0,151,Burlingame,CA,94010,1,1,,1675000,3,20110502,151,,,,,,,,0.597,0.597,0,0,0,151,,,,,,,,,,,151,,,,,,,,,,15,151,,0,20260701,59168.83,0,0,0,151,0,0,Full,Two Years,Two Months
,152,1000634,0.0025,,,1000634,Group 1,3500007402,1,1,0,152,9,,,,,,1,4,0,,152,,,0,,20111122,526500,0.04,180,180,20120101,152,1,0,0,,498123.9,0.04,3894.46,20130101,0,,152,,,,,,,,,,,152,,,,,,,,,,,152,,,,,,,,0,,158,152,1,,0,,9.1,18.1,8,1,20120928,,152,,,,,,684,778,,2,,152,,,,,,,,0,,,152,12534,10135,0,0,22669,22669,1,5,,3,152,,4,,81832.93,6653.35,0.276488,,,0,152,Brisbane,CA,94005,7,1,,710000,3,20111011,152,,,660000,98,20120904,,,0.7415,0.7415,0,0,0,152,,,,,,,,,,,152,,,,,,,,,,28,152,25,0,20261201,12533.84,0,0,10135.02,152,0,0,Full,Two Years,Two Months
,153,1000634,0.0025,,,1000634,Group 1,3500007403,1,1,0,153,9,,,,,,1,4,0,,153,,,200000,,20111125,906000,0.0425,180,180,20120101,153,1,0,0,,858100.98,0.0425,6815.64,20130101,0,,153,,,,,,,,,,,153,,,,,,,,,,,153,,,,,,,,0,,481,153,3,,1,,17.4,11.9,10,1,20120928,,153,,,,,,677,668,,2,,153,,,,,,,,0,,,153,40658,12501,0,0,53159,53159,1,5,,3,153,,4,,150364.01,19453,0.308287,,,0,153,Bass Lake,CA,93604,1,1,,1825000,3,20110923,153,,,1700000,9,20120828,,,0.606,0.4964,0,0,0,153,,,,,,,,,,,153,,,,,,,,,,25,153,15,200000,20261201,40658.33,0,0,12501.46,153,0,0,Full,Two Years,Two Months
,154,1000634,0.0025,,,1000634,Group 1,3500007404,1,1,0,154,9,,,,,,1,4,0,,154,,,0,,20111219,720000,0.03625,180,180,20120201,154,1,0,0,,683194.98,0.03625,5191.46,20130101,0,,154,,,,,,,,,,,154,,,,,,,,,,,154,,,,,,,,0,,371,154,2,,1,,23,,2,1,20120928,,154,,,,,,675,692,,2,,154,,,,,,,,0,,,154,28173,0,0,0,28173,28173,1,5,,3,154,,4,,208386.85,6496.69,0.227956,,,0,154,BASS LAKE,CA,93604,1,1,,930000,3,20111110,154,,,930000,9,20120830,,,0.7741,0.7741,0,0,0,154,,,,,,,,,,,154,,,,,,,,,,23,154,,0,20270101,28173,0,0,0,154,0,0,Full,Two Years,Two Months
,155,1000634,0.0025,,,1000634,Group 1,3500007405,1,1,0,155,9,,,,,,2,0,0,,155,,,0,,20111108,570000,0.0425,180,180,20120101,155,1,0,0,,539864.78,0.0425,4287.99,20130101,0,,155,,,,,,,,,,,155,,,,,,,,,,,155,,,,,,,,0,,71,155,1,,0,,13,6,5,1,20120928,,155,,,,,,670,708,,2,,155,,,,,,,,0,,,155,17222,10619,0,0,27841,27841,0,5,,3,155,,4,,535876.58,6951.34,0.266599,,,0,155,Cayucos,CA,93430,7,1,,790000,3,20111004,155,,,790000,9,20120828,,,0.7215,0.7215,0,0,0,155,,,,,,,,,,,155,,,,,,,,,,19,155,18,0,20261201,17222.22,0,0,10618.58,155,0,0,Full,Two Years,Two Months
,156,1000634,0.0025,,,1000634,Group 1,3500008935,1,1,0,156,9,,,,,,1,4,0,,156,,,0,,20120831,622500,0.03125,180,180,20121001,156,1,0,0,,605557.17,0.03125,4336.39,20130101,0,,156,,,,,,,,,,,156,,,,,,,,,,,156,,,,,,,,0,,448,156,1,,0,,2.1,5.1,5,1,20120928,,156,,,,,,800,786,,2,,156,,,,,,,,0,,,156,13583,19406,0,0,32989,32989,1,5,,3,156,,4,,160503.57,6145.85,0.186798,,,0,156,VISALIA,CA,93291,7,1,,1080000,3,20120727,156,,,,,,,,0.5763,0.5763,0,0,0,156,,,,,,,,,,,156,,,,,,,,,,3,156,6,0,20270901,13583.33,0,0,19045.25,156,0,0,Full,Two Years,Two Months
,157,1000634,0.0025,,,1000634,Group 1,3500008936,1,1,0,157,7,,,,,,1,0,0,,157,,,0,,20120817,693750,0.03125,180,180,20121001,157,1,0,0,,681598.28,0.03125,4832.73,20130101,0,,157,,,,,,,,,,,157,,,,,,,,,,,157,,,,,,,,0,,142,157,2,,0,,,,0,1,20120928,,157,,,,,,796,765,,2,,157,,,,,,,,0,,,157,28051,0,0,0,28051,28051,1,5,,3,157,,4,,217702.71,10776.07,0.386069,,,100,157,Santa Barbara,CA,93110,7,1,925000,925000,3,20120712,157,,,,,,,,0.75,0.75,0,0,0,157,,,,,,,,,,,157,,,,,,,,,,,157,,0,20270901,0,0,0,0,157,0,0,Full,Two Years,Two Months
,158,1000634,0.0025,,,1000634,Group 1,3500008937,1,1,0,158,9,,,,,,1,4,0,,158,,,0,,20120821,485000,0.03625,180,180,20121001,158,1,0,0,,476159.23,0.03625,3497.03,20130101,0,,158,,,,,,,,,,,158,,,,,,,,,,,158,,,,,,,,0,,177,158,1,,0,,,15.2,6,1,20120928,,158,,,,,,787,768,,2,,158,,,,,,,,0,,,158,0,33333,0,0,33333,33333,1,5,,3,158,,4,,235007.31,4813.29,0.153677,,,0,158,SANTA BARBARA,CA,93108,7,1,,615000,3,20120627,158,,,,,,,,0.7886,0.7886,0,0,0,158,,,,,,,,,,,158,,,,,,,,,,,158,15,0,20270901,0,0,0,33333.32,158,0,0,Full,Two Years,Two Months
,159,1000634,0.0025,,,1000634,Group 1,3500008938,1,1,0,159,9,,,,,,1,0,0,,159,,,0,,20120905,520000,0.0325,180,180,20121101,159,1,0,0,,501837.43,0.0325,3653.88,20130101,0,,159,,,,,,,,,,,159,,,,,,,,,,,159,,,,,,,,0,,351,159,1,,0,,1.8,6.3,10,1,20120928,,159,,,,,,777,776,,2,,159,,,,,,,,0,,,159,11253,13476,0,0,24729,24729,1,5,,3,159,,4,,99935.37,5029.88,0.208374,,,0,159,SANTA BARBARA,CA,93108,1,1,,1030000,3,20120814,159,,,,,,,,0.5048,0.5048,0,0,0,159,,,,,,,,,,,159,,,,,,,,,,2,159,6.3,0,20271001,11253.2,0,0,13475.82,159,0,0,Full,Two Years,Two Months
,160,1000634,0.0025,,,1000634,Group 1,3500008939,1,1,0,160,9,,,,,,1,4,0,,160,,,0,,20120830,555000,0.03625,180,180,20121001,160,1,0,0,,545657.02,0.03625,4001.75,20130101,0,,160,,,,,,,,,,,160,,,,,,,,,,,160,,,,,,,,0,,342,160,2,,1,,6.4,12.3,0,1,20120928,,160,,,,,,788,753,,2,,160,,,,,,,,0,,,160,57701,0,0,0,57701,57701,1,5,,3,160,,4,,314298.04,8187.77,0.086028,,,0,160,Santa Barbara,CA,93108,1,1,,1000000,3,20120725,160,,,,,,,,0.555,0.555,0,0,0,160,,,,,,,,,,,160,,,,,,,,,,16,160,,0,20270901,57700.53,0,0,0,160,0,0,Full,Two Years,Two Months
,161,1000634,0.0025,,,1000634,Group 1,3500008941,2,1,0,161,7,,,,,,5,4,0,,161,,,0,,20120731,762000,0.03,360,360,20120901,161,1,0,0,,755429.12,0.03,3212.62,20130101,0,39,161,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,161,0.08,0.0225,,,,,,,,,161,,,,,,,,0,,331,161,3,,1,,9,,0,1,20120928,,161,,,,,,797,686,,2,,161,,,,,,,,0,,,161,10130,0,0,0,10130,10130,0,5,,3,161,,4,,360887.92,4111.16,0.32662,,,100,161,VENTURA,CA,93001,7,1,952500,970000,3,20120625,161,,,,,,,,0.8,0.8,0,0,0,161,,,,,,,,,,,161,,,,,,,,,,9,161,,0,20420801,0,0,10129.75,0,161,0,0,Full,Two Years,Two Months
,162,1000634,0.0025,,,1000634,Group 1,3500008942,2,1,0,162,9,,,,,,1,0,0,,162,,,0,,20120813,540000,0.035,360,360,20121001,162,1,0,0,,536585.74,0.035,2424.84,20130101,0,39,162,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,162,0.085,0.0225,,,,,,,,,162,,,,,,,,0,,162,162,1,,0,,2,2,15,1,20120928,,162,,,,,,786,663,,2,,162,,,,,,,,0,,,162,,0,12866.34,0,0,12866.34,1,5,,3,162,,4,,149314.96,4426.02,0.25956,,,0,162,Yorba Linda,CA,92886,7,1,,1200000,3,20120611,162,,,,,,,,0.45,0.45,0,0,0,162,,,,,,,,,,,162,,,,,,,,,,2,162,2,0,20420901,13577,0,0,0,162,0,0,Full,Two Years,Two Months
,163,1000634,0.0025,,,1000634,Group 1,3500008943,2,1,0,163,9,,,,,,1,4,0,,163,,,75000,,20120810,845000,0.035,360,360,20121001,163,1,0,0,,839657.28,0.035,3794.43,20130101,0,39,163,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,163,0.085,0.0225,,,,,,,,,163,,,,,,,,0,,41,163,1,,0,,0.8,,8,1,20120928,,163,,,,,,771,767,,2,,163,,,,,,,,0,,,163,16667,0,0,0,16667,16667,1,5,,3,163,,4,,107127.12,5440.11,0.326821,,,0,163,RANCHO SANTA MARGARITA,CA,92679,1,1,,1450000,3,20120626,163,,,,,,,,0.6344,0.5827,0,0,0,163,,,,,,,,,,,163,,,,,,,,,,2,163,,75000,20420901,16666.66,0,0,0,163,0,0,Full,Two Years,Two Months
,164,1000634,0.0025,,,1000634,Group 1,3500008944,1,1,0,164,9,,,,,,1,0,0,,164,,,0,,20120810,592150,0.0325,120,120,20121001,164,1,0,0,,575351.14,0.0325,5786.43,20130101,0,,164,,,,,,,,,,,164,,,,,,,,,,,164,,,,,,,,0,,117,164,1,,1,,23.6,23.6,14,1,20120928,,164,,,,,,786,788,,2,,164,,,,,,,,0,,,164,13059,23013,0,0,36072,36072,1,5,,3,164,,4,,1630188.26,7578.73,0.296602,,,0,164,COTO DE CAZA,CA,92679,1,1,,1722000,3,20120703,164,,,,,,,,0.3438,0.3438,0,0,0,164,,,,,,,,,,,164,,,,,,,,,,23,164,23,0,20220901,13059.18,0,0,23012.95,164,0,0,Full,Two Years,Two Months
,165,1000634,0.0025,,,1000634,Group 1,3500008945,1,1,0,165,9,,,,,,1,0,0,,165,,,0,,20120831,786100,0.03375,180,180,20121001,165,1,0,0,,772600.57,0.03375,5571.56,20130101,0,,165,,,,,,,,,,,165,,,,,,,,,,,165,,,,,,,,0,,107,165,1,,0,,10.1,,9,1,20120928,,165,,,,,,762,759,,2,,165,,,,,,,,0,,,165,66924,0,0,0,66924,66924,1,5,,3,165,,4,,169688.62,7937.19,0.118472,,,0,165,SAN CLEMENTE,CA,92672,1,1,,2000000,3,20120720,165,,,,,,,,0.393,0.393,0,0,0,165,,,,,,,,,,,165,,,,,,,,,,21,165,,0,20270901,20000,46924,0,0,165,0,0,Full,Two Years,Two Months
,166,1000634,0.0025,,,1000634,Group 1,3500008946,1,1,0,166,9,,,,,,1,0,0,,166,,,0,,20120830,507000,0.03375,180,180,20121001,166,1,0,0,,496985.86,0.03375,3593.41,20130101,0,,166,,,,,,,,,,,166,,,,,,,,,,,166,,,,,,,,0,,181,166,1,,0,,11.6,,9,1,20120928,,166,,,,,,791,779,,2,,166,,,,,,,,0,,,166,35417,0,0,0,35417,35417,1,5,,3,166,,4,,108663.36,5528.59,0.156052,,,0,166,NEWPORT BEACH,CA,92663,1,1,,850000,3,20120714,166,,,,,,,,0.5964,0.5964,0,0,0,166,,,,,,,,,,,166,,,,,,,,,,12,166,,0,20270901,35416.66,0,0,0,166,0,0,Full,Two Years,Two Months
,167,1000634,0.0025,,,1000634,Group 1,3500008978,2,1,0,167,9,,,,,,1,0,0,,167,,,0,,20120820,553650,0.03625,360,360,20121001,167,1,0,0,,550224.74,0.03625,2524.93,20130101,0,39,167,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,167,0.08625,0.0225,,,,,,,,,167,,,,,,,,0,,209,167,2,,1,,11.2,,1.5,1,20120928,,167,,,,,,809,778,,2,,167,,,,,,,,0,,,167,21883,0,8168.33,0,21883,30051.33,1,4,,3,167,,4,,2625357.88,8892.19,0.285225,,,0,167,Newport Coast,CA,92657,3,1,,1000000,3,20120718,167,,,,,,,,0.5536,0.5536,0,0,0,167,,,,,,,,,,,167,,,,,,,,,,11.2,167,,0,20420901,13715,0,0,0,167,0,0,Full,Two Years,Two Months
,168,1000634,0.0025,,,1000634,Group 1,3500008980,2,1,0,168,7,,,,,,2,4,0,,168,,,0,,20120727,668000,0.03875,360,360,20120901,168,1,0,0,,663047.64,0.03875,3141.18,20130101,0,39,168,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,168,0.08875,0.0225,,,,,,,,,168,,,,,,,,0,,116,168,2,,0,,19,,0,1,20120928,,168,,,,,,755,737,,2,,168,,,,,,,,0,,,168,29249,0,0,0,29249,29249,1,5,,3,168,,4,,290559.01,13180.48,0.450342,,,100,168,LAGUNA BEACH,CA,92651,7,1,835000,875000,3,20120630,168,,,,,,,,0.8,0.8,0,0,0,168,,,,,,,,,,,168,,,,,,,,,,19,168,,0,20420801,17874.28,11374.67,0,0,168,0,0,Full,Two Years,Two Months
,169,1000634,0.0025,,,1000634,Group 1,3500008981,2,1,0,169,9,,,,,,2,4,0,,169,,,0,,20120820,700000,0.03625,360,360,20121001,169,1,0,0,,695669.32,0.03625,3192.36,20130101,0,39,169,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,169,0.08625,0.0225,,,,,,,,,169,,,,,,,,0,,132,169,1,,0,,3,3,6,1,20120928,,169,,,,,,823,801,,2,,169,,,,,,,,0,,,169,9480,3640,0,0,13120,13120,1,5,,3,169,,4,,188567.87,4180.43,0.306003,,,0,169,Huntington Beach,CA,92649,7,1,,890000,3,20120710,169,,,,,,,,0.7865,0.7865,0,0,0,169,,,,,,,,,,,169,,,,,,,,,,3,169,3,0,20420901,9479.6,3640,0,0,169,0,0,Full,Two Years,Two Months
